iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Unnamed: 67
OWID_LMC,,Lower-middle-income countries,2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,13200.0,13200.0,0.0,0.0,,,4.0,13200.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,13200.0,13200.0,0.0,0.0,,,4.0,13200.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,13200.0,13200.0,0.0,0.0,,,4.0,13200.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191181.0,191181.0,,,204381.0,204381.0,0.01,0.01,,,60.0,204381.0,0.01,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224301.0,224301.0,,,46320.0,125350.0,0.01,0.01,,,37.0,125350.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454049.0,454049.0,,,242948.0,164550.0,0.01,0.01,,,48.0,164550.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674835.0,674835.0,,,233986.0,181909.0,0.02,0.02,,,53.0,181909.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806484.0,806484.0,,,144849.0,174497.0,0.02,0.02,,,51.0,174497.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043534.0,1043534.0,,,250250.0,187122.0,0.03,0.03,,,55.0,187122.0,0.0,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522592.0,1522592.0,,,360258.0,211856.0,0.04,0.04,,,62.0,211856.0,0.01,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714201.0,1714201.0,,,200230.0,211263.0,0.05,0.05,,,62.0,211263.0,0.01,,,,,,,,,,,,,,,,3432097300.0,,,,,
OWID_LMC,,Lower-middle-income countries,2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764746.0,1764746.0,,,41924.0,210635.0,0.05,0.05,,,61.0,210635.0,0.01,,,,,,,,,,,,,,,,3432097300.0,,,,,
