iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Unnamed: 67
OWID_SCT,Europe,Scotland,2020-03-07,,,,,,,,,,,,,,,,,,,,87.0,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-08,,,,,,,,,,,,,,,,,,,,94.0,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-09,,,,,,,,,,,,,,,,,,,,102.0,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-10,,,,,,,,,,,,,,,,,,,,117.0,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-11,,,,,,,,,,,,,,,,,,,,135.0,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-12,,,,,,,,,,,,,,,,,,,,140.0,25.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-13,,,,,,,,,,,,,,,,,,,,141.0,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-14,,,,,,,,,,,,,,,,,,,,153.0,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-15,,,,,,,,,,,,,,,,,,,,160.0,29.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-16,,,,,,,,,,,,,,,,,,,,171.0,31.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-17,,,,,,,,,,,,,,,,,,,,184.0,33.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-18,,,,,,,,,,,,,,6.0,1.1,,,,,202.0,36.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-19,,,,,,,,,,,,,,11.0,2.01,,,,,223.0,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-20,,,,,,,,,,,,,,16.0,2.93,,,,,271.0,49.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-21,,,,,,,,,,,,,,20.0,3.66,,,,,314.0,57.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-22,,,,,,,,,,,,,,23.0,4.21,,,,,350.0,64.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-23,,,,,,,,,,,,,,30.0,5.49,,,,,415.0,75.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-24,,,,,,,,,,,,,,42.0,7.68,,,,,469.0,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-25,,,,,,,,,,,,,,52.0,9.51,,,,,549.0,100.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-26,,,,,,,,,,,,,,57.0,10.43,,,,,662.0,121.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-27,,,,,,,,,,,,,,72.0,13.17,404.0,73.91,,,740.0,135.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-28,,,,,,,,,,,,,,81.0,14.82,511.0,93.49,,,836.0,152.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-29,,,,,,,,,,,,,,95.0,17.38,565.0,103.37,,,922.0,168.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-30,,,,,,,,,,,,,,108.0,19.76,627.0,114.71,,,1017.0,186.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-03-31,,,,,,,,,,,,,,135.0,24.7,752.0,137.58,,,1107.0,202.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-01,,,,,,,,,,,,,,147.0,26.89,815.0,149.1,,,1196.0,218.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-02,,,,,,,,,,,,,,162.0,29.64,910.0,166.48,,,1208.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-03,,,,,,,,,,,,,,176.0,32.2,1037.0,189.72,,,1272.0,232.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-04,,,,,,,,,,,,,,192.0,35.13,1107.0,202.52,,,1266.0,231.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-05,,,,,,,,,,,,,,197.0,36.04,1204.0,220.27,,,1285.0,235.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-06,,,,,,,,,,,,,,199.0,36.41,1262.0,230.88,,,1298.0,237.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-07,,,,,,,,,,,,,,199.0,36.41,1328.0,242.96,,,1283.0,234.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-08,,,,,,,,,,,,,,210.0,38.42,1415.0,258.87,,,1226.0,224.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-09,,,,,,,,,,,,,,212.0,38.78,1440.0,263.45,,,1189.0,217.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-10,,,,,,,,,,,,,,207.0,37.87,1461.0,267.29,,,1091.0,199.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-11,,,,,,,,,,,,,,212.0,38.78,1467.0,268.39,,,1017.0,186.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-12,,,,,,,,,,,,,,221.0,40.43,1487.0,272.04,,,944.0,172.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-13,,,,,,,,,,,,,,211.0,38.6,1482.0,271.13,,,844.0,154.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-14,,,,,,,,,,,,,,196.0,35.86,1514.0,276.98,,,774.0,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-15,,,,,,,,,,,,,,195.0,35.67,1486.0,271.86,,,715.0,130.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-16,,,,,,,,,,,,,,196.0,35.86,1479.0,270.58,,,680.0,124.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-17,,,,,,,,,,,,,,189.0,34.58,1487.0,272.04,,,673.0,123.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-18,,,,,,,,,,,,,,182.0,33.3,1501.0,274.61,,,668.0,122.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-19,,,,,,,,,,,,,,174.0,31.83,1520.0,278.08,,,641.0,117.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-20,,,,,,,,,,,,,,169.0,30.92,1520.0,278.08,,,605.0,110.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-21,,,,,,,,,,,,,,166.0,30.37,1472.0,269.3,,,573.0,104.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-22,,,,,,,,,,,,,,155.0,28.36,1432.0,261.98,,,541.0,98.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-23,,,,,,,,,,,,,,148.0,27.08,1423.0,260.34,,,510.0,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-24,,,,,,,,,,,,,,141.0,25.8,1383.0,253.02,,,492.0,90.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-25,,,,,,,,,,,,,,140.0,25.61,1385.0,253.38,,,459.0,83.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-26,,,,,,,,,,,,,,133.0,24.33,1382.0,252.84,,,440.0,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-27,,,,,,,,,,,,,,134.0,24.52,1387.0,253.75,,,447.0,81.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-28,,,,,,,,,,,,,,126.0,23.05,1359.0,248.63,,,450.0,82.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-29,,,,,,,,,,,,,,114.0,20.86,1363.0,249.36,,,433.0,79.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-04-30,,,,,,,,,,,,,,109.0,19.94,1324.0,242.22,,,423.0,77.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-05-01,,,,,,,,,,,,,,110.0,20.12,1302.0,238.2,,,387.0,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-05-02,,,,,,,,,,,,,,108.0,19.76,1277.0,233.63,,,391.0,71.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-05-03,,,,,,,,,,,,,,99.0,18.11,1266.0,231.61,,,392.0,71.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-05-04,,,,,,,,,,,,,,99.0,18.11,1279.0,233.99,,,370.0,67.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-05-05,,,,,,,,,,,,,,104.0,19.03,1225.0,224.11,,,338.0,61.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-05-06,,,,,,,,,,,,,,89.0,16.28,1204.0,220.27,,,333.0,60.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-05-07,,,,,,,,,,,,,,86.0,15.73,1199.0,219.36,,,314.0,57.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
OWID_SCT,Europe,Scotland,2020-05-08,,,,,,,,,,,,,,84.0,15.37,1168.0,213.68,,,291.0,53.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,,
